od620,row,column,hour,testid,media,taxa,well,experiment,hour.exp,sp_id,bac_sp,sp_full
0.33,A,7,0,375,13d-Keratin,Sp.1,A7,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.364,B,7,0,375,13d-Keratin,Sp.2,B7,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.342,C,7,0,375,13d-Keratin,Sp.3,C7,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.336,D,7,0,375,13d-Keratin,blank,D7,1,12/30/1899,NA,NA,NA - NA
0.348,A,8,0,375,13d-Keratin,Sp.1,A8,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.344,B,8,0,375,13d-Keratin,Sp.2,B8,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.35,C,8,0,375,13d-Keratin,Sp.3,C8,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.336,D,8,0,375,13d-Keratin,blank,D8,1,12/30/1899,NA,NA,NA - NA
0.355,A,9,0,375,13d-Keratin,Sp.1,A9,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.35,B,9,0,375,13d-Keratin,Sp.2,B9,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.353,C,9,0,375,13d-Keratin,Sp.3,C9,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.343,D,9,0,375,13d-Keratin,blank,D9,1,12/30/1899,NA,NA,NA - NA
0.497,A,7,0,376,13d-Keratin,Sp.1,A7,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.439,B,7,0,376,13d-Keratin,Sp.2,B7,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.837,C,7,0,376,13d-Keratin,Sp.3,C7,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.382,D,7,0,376,13d-Keratin,blank,D7,1,2/17/1900,NA,NA,NA - NA
0.497,A,8,0,376,13d-Keratin,Sp.1,A8,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.429,B,8,0,376,13d-Keratin,Sp.2,B8,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.853,C,8,0,376,13d-Keratin,Sp.3,C8,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.384,D,8,0,376,13d-Keratin,blank,D8,1,2/17/1900,NA,NA,NA - NA
0.497,A,9,0,376,13d-Keratin,Sp.1,A9,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.455,B,9,0,376,13d-Keratin,Sp.2,B9,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.862,C,9,0,376,13d-Keratin,Sp.3,C9,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.398,D,9,0,376,13d-Keratin,blank,D9,1,2/17/1900,NA,NA,NA - NA
0.299,A,1,0,375,5d-Keratin,Sp.1,A1,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.314,B,1,0,375,5d-Keratin,Sp.2,B1,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.307,C,1,0,375,5d-Keratin,Sp.3,C1,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.302,D,1,0,375,5d-Keratin,blank,D1,1,12/30/1899,NA,NA,NA - NA
0.299,A,2,0,375,5d-Keratin,Sp.1,A2,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.315,B,2,0,375,5d-Keratin,Sp.2,B2,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.302,C,2,0,375,5d-Keratin,Sp.3,C2,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.303,D,2,0,375,5d-Keratin,blank,D2,1,12/30/1899,NA,NA,NA - NA
0.291,A,3,0,375,5d-Keratin,Sp.1,A3,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.313,B,3,0,375,5d-Keratin,Sp.2,B3,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.304,C,3,0,375,5d-Keratin,Sp.3,C3,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.308,D,3,0,375,5d-Keratin,blank,D3,1,12/30/1899,NA,NA,NA - NA
0.509,A,1,0,376,5d-Keratin,Sp.1,A1,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.815,B,1,0,376,5d-Keratin,Sp.2,B1,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
1.464,C,1,0,376,5d-Keratin,Sp.3,C1,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.391,D,1,0,376,5d-Keratin,blank,D1,1,2/17/1900,NA,NA,NA - NA
0.508,A,2,0,376,5d-Keratin,Sp.1,A2,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.794,B,2,0,376,5d-Keratin,Sp.2,B2,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
1.335,C,2,0,376,5d-Keratin,Sp.3,C2,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.347,D,2,0,376,5d-Keratin,blank,D2,1,2/17/1900,NA,NA,NA - NA
0.507,A,3,0,376,5d-Keratin,Sp.1,A3,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.778,B,3,0,376,5d-Keratin,Sp.2,B3,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
1.375,C,3,0,376,5d-Keratin,Sp.3,C3,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.351,D,3,0,376,5d-Keratin,blank,D3,1,2/17/1900,NA,NA,NA - NA
0.322,A,4,0,375,9d-Keratin,Sp.1,A4,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.336,B,4,0,375,9d-Keratin,Sp.2,B4,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.327,C,4,0,375,9d-Keratin,Sp.3,C4,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.323,D,4,0,375,9d-Keratin,blank,D4,1,12/30/1899,NA,NA,NA - NA
0.326,A,5,0,375,9d-Keratin,Sp.1,A5,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.333,B,5,0,375,9d-Keratin,Sp.2,B5,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.309,C,5,0,375,9d-Keratin,Sp.3,C5,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.325,D,5,0,375,9d-Keratin,blank,D5,1,12/30/1899,NA,NA,NA - NA
0.354,A,6,0,375,9d-Keratin,Sp.1,A6,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.36,B,6,0,375,9d-Keratin,Sp.2,B6,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.317,C,6,0,375,9d-Keratin,Sp.3,C6,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.346,D,6,0,375,9d-Keratin,blank,D6,1,12/30/1899,NA,NA,NA - NA
0.553,A,4,0,376,9d-Keratin,Sp.1,A4,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.518,B,4,0,376,9d-Keratin,Sp.2,B4,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.948,C,4,0,376,9d-Keratin,Sp.3,C4,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.355,D,4,0,376,9d-Keratin,blank,D4,1,2/17/1900,NA,NA,NA - NA
0.556,A,5,0,376,9d-Keratin,Sp.1,A5,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.488,B,5,0,376,9d-Keratin,Sp.2,B5,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.941,C,5,0,376,9d-Keratin,Sp.3,C5,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.365,D,5,0,376,9d-Keratin,blank,D5,1,2/17/1900,NA,NA,NA - NA
0.553,A,6,0,376,9d-Keratin,Sp.1,A6,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.47,B,6,0,376,9d-Keratin,Sp.2,B6,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.959,C,6,0,376,9d-Keratin,Sp.3,C6,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.374,D,6,0,376,9d-Keratin,blank,D6,1,2/17/1900,NA,NA,NA - NA
0.263,E,1,0,375,M9,blank,E1,1,12/30/1899,NA,NA,NA - NA
0.262,F,1,0,375,M9,Sp.1,F1,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.27,G,1,0,375,M9,Sp.2,G1,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.249,H,1,0,375,M9,Sp.3,H1,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.263,E,2,0,375,M9,blank,E2,1,12/30/1899,NA,NA,NA - NA
0.261,F,2,0,375,M9,Sp.1,F2,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.228,G,2,0,375,M9,Sp.2,G2,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.251,H,2,0,375,M9,Sp.3,H2,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.277,E,3,0,375,M9,blank,E3,1,12/30/1899,NA,NA,NA - NA
0.274,F,3,0,375,M9,Sp.1,F3,1,12/30/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.291,G,3,0,375,M9,Sp.2,G3,1,12/30/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.271,H,3,0,375,M9,Sp.3,H3,1,12/30/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.229,E,1,0,376,M9,blank,E1,1,2/17/1900,NA,NA,NA - NA
0.278,F,1,0,376,M9,Sp.1,F1,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.233,G,1,0,376,M9,Sp.2,G1,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.247,H,1,0,376,M9,Sp.3,H1,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.29,E,2,0,376,M9,blank,E2,1,2/17/1900,NA,NA,NA - NA
0.373,F,2,0,376,M9,Sp.1,F2,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.254,G,2,0,376,M9,Sp.2,G2,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.299,H,2,0,376,M9,Sp.3,H2,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.294,E,3,0,376,M9,blank,E3,1,2/17/1900,NA,NA,NA - NA
0.346,F,3,0,376,M9,Sp.1,F3,1,2/17/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.276,G,3,0,376,M9,Sp.2,G3,1,2/17/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.306,H,3,0,376,M9,Sp.3,H3,1,2/17/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.333,A,10,1,375,1%-Keratin,Sp.1,A10,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.36,B,10,1,375,1%-Keratin,Sp.2,B10,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.364,C,10,1,375,1%-Keratin,Sp.3,C10,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.347,D,10,1,375,1%-Keratin,blank,D10,1,12/31/1899,NA,NA,NA - NA
0.356,A,11,1,375,1%-Keratin,Sp.1,A11,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.357,B,11,1,375,1%-Keratin,Sp.2,B11,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.366,C,11,1,375,1%-Keratin,Sp.3,C11,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.357,D,11,1,375,1%-Keratin,blank,D11,1,12/31/1899,NA,NA,NA - NA
0.354,A,12,1,375,1%-Keratin,Sp.1,A12,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.36,B,12,1,375,1%-Keratin,Sp.2,B12,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.372,C,12,1,375,1%-Keratin,Sp.3,C12,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.362,D,12,1,375,1%-Keratin,blank,D12,1,12/31/1899,NA,NA,NA - NA
0.436,A,10,1,376,1%-Keratin,Sp.1,A10,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.361,B,10,1,376,1%-Keratin,Sp.2,B10,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.957,C,10,1,376,1%-Keratin,Sp.3,C10,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.374,D,10,1,376,1%-Keratin,blank,D10,1,2/18/1900,NA,NA,NA - NA
0.44,A,11,1,376,1%-Keratin,Sp.1,A11,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.374,B,11,1,376,1%-Keratin,Sp.2,B11,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.854,C,11,1,376,1%-Keratin,Sp.3,C11,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.38,D,11,1,376,1%-Keratin,blank,D11,1,2/18/1900,NA,NA,NA - NA
0.449,A,12,1,376,1%-Keratin,Sp.1,A12,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.391,B,12,1,376,1%-Keratin,Sp.2,B12,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.87,C,12,1,376,1%-Keratin,Sp.3,C12,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.398,D,12,1,376,1%-Keratin,blank,D12,1,2/18/1900,NA,NA,NA - NA
0.343,A,7,1,375,13d-Keratin,Sp.1,A7,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.365,B,7,1,375,13d-Keratin,Sp.2,B7,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.336,C,7,1,375,13d-Keratin,Sp.3,C7,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.335,D,7,1,375,13d-Keratin,blank,D7,1,12/31/1899,NA,NA,NA - NA
0.349,A,8,1,375,13d-Keratin,Sp.1,A8,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.346,B,8,1,375,13d-Keratin,Sp.2,B8,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.35,C,8,1,375,13d-Keratin,Sp.3,C8,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.334,D,8,1,375,13d-Keratin,blank,D8,1,12/31/1899,NA,NA,NA - NA
0.351,A,9,1,375,13d-Keratin,Sp.1,A9,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.346,B,9,1,375,13d-Keratin,Sp.2,B9,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.356,C,9,1,375,13d-Keratin,Sp.3,C9,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.344,D,9,1,375,13d-Keratin,blank,D9,1,12/31/1899,NA,NA,NA - NA
0.498,A,7,1,376,13d-Keratin,Sp.1,A7,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.446,B,7,1,376,13d-Keratin,Sp.2,B7,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.848,C,7,1,376,13d-Keratin,Sp.3,C7,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.381,D,7,1,376,13d-Keratin,blank,D7,1,2/18/1900,NA,NA,NA - NA
0.497,A,8,1,376,13d-Keratin,Sp.1,A8,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.436,B,8,1,376,13d-Keratin,Sp.2,B8,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.861,C,8,1,376,13d-Keratin,Sp.3,C8,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.384,D,8,1,376,13d-Keratin,blank,D8,1,2/18/1900,NA,NA,NA - NA
0.497,A,9,1,376,13d-Keratin,Sp.1,A9,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.464,B,9,1,376,13d-Keratin,Sp.2,B9,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.87,C,9,1,376,13d-Keratin,Sp.3,C9,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.397,D,9,1,376,13d-Keratin,blank,D9,1,2/18/1900,NA,NA,NA - NA
0.292,A,1,1,375,5d-Keratin,Sp.1,A1,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.316,B,1,1,375,5d-Keratin,Sp.2,B1,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.298,C,1,1,375,5d-Keratin,Sp.3,C1,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.302,D,1,1,375,5d-Keratin,blank,D1,1,12/31/1899,NA,NA,NA - NA
0.306,A,2,1,375,5d-Keratin,Sp.1,A2,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.309,B,2,1,375,5d-Keratin,Sp.2,B2,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.302,C,2,1,375,5d-Keratin,Sp.3,C2,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.303,D,2,1,375,5d-Keratin,blank,D2,1,12/31/1899,NA,NA,NA - NA
0.279,A,3,1,375,5d-Keratin,Sp.1,A3,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.303,B,3,1,375,5d-Keratin,Sp.2,B3,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.305,C,3,1,375,5d-Keratin,Sp.3,C3,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.309,D,3,1,375,5d-Keratin,blank,D3,1,12/31/1899,NA,NA,NA - NA
0.507,A,1,1,376,5d-Keratin,Sp.1,A1,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.846,B,1,1,376,5d-Keratin,Sp.2,B1,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
1.5,C,1,1,376,5d-Keratin,Sp.3,C1,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.391,D,1,1,376,5d-Keratin,blank,D1,1,2/18/1900,NA,NA,NA - NA
0.508,A,2,1,376,5d-Keratin,Sp.1,A2,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.826,B,2,1,376,5d-Keratin,Sp.2,B2,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
1.371,C,2,1,376,5d-Keratin,Sp.3,C2,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.345,D,2,1,376,5d-Keratin,blank,D2,1,2/18/1900,NA,NA,NA - NA
0.507,A,3,1,376,5d-Keratin,Sp.1,A3,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.811,B,3,1,376,5d-Keratin,Sp.2,B3,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
1.406,C,3,1,376,5d-Keratin,Sp.3,C3,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.349,D,3,1,376,5d-Keratin,blank,D3,1,2/18/1900,NA,NA,NA - NA
0.32,A,4,1,375,9d-Keratin,Sp.1,A4,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.334,B,4,1,375,9d-Keratin,Sp.2,B4,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.318,C,4,1,375,9d-Keratin,Sp.3,C4,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.324,D,4,1,375,9d-Keratin,blank,D4,1,12/31/1899,NA,NA,NA - NA
0.323,A,5,1,375,9d-Keratin,Sp.1,A5,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.327,B,5,1,375,9d-Keratin,Sp.2,B5,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.302,C,5,1,375,9d-Keratin,Sp.3,C5,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.325,D,5,1,375,9d-Keratin,blank,D5,1,12/31/1899,NA,NA,NA - NA
0.331,A,6,1,375,9d-Keratin,Sp.1,A6,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.347,B,6,1,375,9d-Keratin,Sp.2,B6,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.317,C,6,1,375,9d-Keratin,Sp.3,C6,1,12/31/1899,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.346,D,6,1,375,9d-Keratin,blank,D6,1,12/31/1899,NA,NA,NA - NA
0.553,A,4,1,376,9d-Keratin,Sp.1,A4,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.528,B,4,1,376,9d-Keratin,Sp.2,B4,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.962,C,4,1,376,9d-Keratin,Sp.3,C4,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.354,D,4,1,376,9d-Keratin,blank,D4,1,2/18/1900,NA,NA,NA - NA
0.554,A,5,1,376,9d-Keratin,Sp.1,A5,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.498,B,5,1,376,9d-Keratin,Sp.2,B5,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.955,C,5,1,376,9d-Keratin,Sp.3,C5,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.364,D,5,1,376,9d-Keratin,blank,D5,1,2/18/1900,NA,NA,NA - NA
0.553,A,6,1,376,9d-Keratin,Sp.1,A6,1,2/18/1900,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.484,B,6,1,376,9d-Keratin,Sp.2,B6,1,2/18/1900,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
0.975,C,6,1,376,9d-Keratin,Sp.3,C6,1,2/18/1900,EKS20.5,Stenotrophomonas,EKS20.5 - Stenotrophomonas
0.378,D,6,1,376,9d-Keratin,blank,D6,1,2/18/1900,NA,NA,NA - NA
0.269,E,1,1,375,M9,blank,E1,1,12/31/1899,NA,NA,NA - NA
0.274,F,1,1,375,M9,Sp.1,F1,1,12/31/1899,BR1.9,Acinetobacter,BR1.9 - Acinetobacter
0.273,G,1,1,375,M9,Sp.2,G1,1,12/31/1899,BR1.10,Chryseobacterium,BR1.10 - Chryseobacterium
